epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,164.721,0.99312,1.48369,2.28896,0.00535,0.32319,0.92882,0.42103,0.54237,0.50373,0.92882,0.42103,0.52605,0.49974,0.76909,1.51883,3.51613,0.00802,0,0.000320922,0.000320922,0.000320922
83,166.78,1.07627,1.65994,2.12292,0.00522,0.31085,0.98283,0.41935,0.55554,0.49594,0.98283,0.41935,0.53873,0.50804,0.86893,1.47659,3.47976,0.01057,0,0.000308648,0.000308648,0.000308648
84,168.821,1.03811,1.55317,2.10675,0.00542,0.26656,1,0.41281,0.5673,0.49761,1,0.41281,0.54847,0.51389,0.88562,1.46046,3.45714,0.01056,0,0.000295978,0.000295978,0.000295978
85,171.43,0.96219,1.72375,2.26146,0.0053,0.37943,1,0.41304,0.57807,0.50617,1,0.41304,0.55789,0.5204,0.88309,1.43077,3.42592,0.00927,0,0.000282912,0.000282912,0.000282912
86,173.566,0.99084,1.76202,2.26584,0.00598,0.38438,1,0.44913,0.58775,0.51781,1,0.44913,0.56737,0.52015,0.88059,1.39821,3.3772,0.00874,0,0.00026945,0.00026945,0.00026945
87,175.785,0.99312,1.82013,2.18018,0.00566,0.36324,0.94285,0.45161,0.59231,0.51843,0.94285,0.45161,0.57041,0.5088,0.88877,1.36966,3.33008,0.00957,0,0.000255592,0.000255592,0.000255592
88,177.755,0.91137,1.28427,2.00991,0.00395,0.32802,0.94292,0.45161,0.60277,0.51892,0.94292,0.45161,0.57702,0.49599,0.89103,1.34557,3.26467,0.0112,0,0.000241338,0.000241338,0.000241338
89,179.928,0.98912,1.87258,2.23464,0.00616,0.3827,1,0.46947,0.62242,0.53414,1,0.46947,0.59486,0.50499,0.89457,1.3355,3.20055,0.01172,0,0.000226688,0.000226688,0.000226688
90,182.26,1.00105,1.37452,2.01657,0.00626,0.28976,1,0.46716,0.63013,0.54184,1,0.46716,0.6018,0.51821,0.86847,1.32756,3.12922,0.01104,0,0.000211642,0.000211642,0.000211642
91,200.465,1.06354,1.60904,3.55798,0.00583,0.22751,1,0.47298,0.63189,0.54722,1,0.46772,0.60338,0.52447,0.82757,1.32095,3.07254,0.00935,0,0.0001962,0.0001962,0.0001962
92,203.005,1.05117,2.40725,3.61306,0.00625,0.20797,1,0.47321,0.63339,0.55409,1,0.47321,0.60481,0.54727,0.774,1.31839,3.02812,0.00686,0,0.000180362,0.000180362,0.000180362
93,205.292,1.00186,1.74231,3.50112,0.00536,0.19937,0.99571,0.48387,0.63476,0.55368,0.99571,0.48387,0.60623,0.55212,0.7454,1.3208,2.99486,0.0057,0,0.000164128,0.000164128,0.000164128
94,207.357,1.14217,1.52515,3.48566,0.00575,0.20044,0.99245,0.48387,0.63751,0.55305,0.99245,0.48387,0.60885,0.55067,0.7431,1.62308,2.9938,0.0058,0,0.000147498,0.000147498,0.000147498
95,209.478,1.08198,1.66795,3.57373,0.006,0.21813,1,0.41235,0.64196,0.55911,1,0.41235,0.61123,0.54684,0.73537,1.62145,2.99027,0.00538,0,0.000130472,0.000130472,0.000130472
96,211.531,1.15657,1.98963,3.4974,0.00651,0.18931,1,0.38394,0.63759,0.55624,1,0.38394,0.60566,0.54052,0.74796,1.61452,2.98236,0.00554,0,0.00011305,0.00011305,0.00011305
97,213.67,1.05324,1.74002,3.45818,0.00646,0.19335,1,0.38132,0.63629,0.54902,1,0.38132,0.60599,0.52461,0.77101,1.66734,2.96764,0.00679,0,9.5232e-05,9.5232e-05,9.5232e-05
98,215.756,1.07007,1.82067,3.45105,0.00577,0.18827,1,0.38488,0.63159,0.5451,1,0.38488,0.60119,0.51168,0.79827,1.66893,2.94025,0.00781,0,7.7018e-05,7.7018e-05,7.7018e-05
99,217.925,1.05357,1.57655,3.4492,0.00562,0.18315,0.9933,0.41935,0.63159,0.53783,0.9933,0.41935,0.60119,0.51383,0.80948,1.66695,2.89961,0.00829,0,5.8408e-05,5.8408e-05,5.8408e-05
100,219.992,1.12069,1.66447,3.46229,0.00647,0.1808,0.98252,0.41935,0.63367,0.53872,0.98252,0.41935,0.60355,0.5185,0.80881,1.67112,2.84997,0.00854,0,3.9402e-05,3.9402e-05,3.9402e-05
